8,5481; -0,15164
8,7056; -0,15484
8,8630; 0,53872
8,9417; 1,2339
9,0598; 0,43518
9,1779; -0,46307
9,3354; -0,26719
9,4928; -0,76808
9,6503; -0,77129
9,8077; 0,22089
9,9651; 0,21769
10,123; -0,38274
10,241; 0,013008
10,319; 0,80771
10,595; 0,60303
10,752; 0,59983
10,910; 0,99478
11,028; 0,79330
11,107; -0,0046043
11,107; -0,60183
11,225; -1,1019
11,382; -0,30882
11,540; -0,61064
11,618; -1,4085
11,776; -1,4117
11,933; -1,8131
12,091; -2,5131
12,248; -2,5163
12,366; -0,030223
12,366; -0,82652
12,366; -1,6228
12,484; 1,3609
12,445; 0,56540
12,642; 1,6563
12,760; 0,75807
12,878; 0,25798
12,996; 1,5496
12,996; 0,75327
13,075; 2,7424
13,075; 2,1452
13,193; 4,9299
13,153; 4,1344
13,153; 3,3380
13,350; 5,3248
13,468; 5,9196
13,547; 8,3069
13,547; 7,5106
13,547; 6,7143
13,626; 9,8979
13,626; 9,1016
13,704; 10,693
13,823; 11,487
13,941; 13,077
13,941; 12,280
14,019; 14,668
14,019; 13,871
14,098; 16,657
14,098; 15,861
14,098; 15,263
14,177; 17,850
14,177; 17,253
14,256; 20,237
14,256; 19,441
14,256; 18,644
14,334; 21,828
14,334; 21,032
14,413; 23,021
14,413; 22,424
14,492; 24,612
14,492; 23,816
14,570; 26,203
14,570; 25,407
14,649; 28,590
14,649; 27,794
14,649; 26,998
14,728; 29,783
14,846; 30,577
14,964; 30,176
14,964; 29,579
15,043; 28,980
15,043; 28,184
15,043; 27,388
15,043; 26,791
15,121; 26,192
15,121; 25,395
15,121; 24,599
15,121; 23,803
15,121; 23,006
15,121; 22,210
15,121; 21,414
15,121; 20,618
15,121; 19,821
15,200; 19,023
15,200; 18,227
15,200; 17,431
15,200; 16,634
15,200; 15,838
15,200; 15,042
15,200; 14,445
15,279; 13,846
15,279; 13,050
15,279; 12,253
15,279; 11,457
15,279; 10,661
15,279; 9,8643
15,358; 8,6683
15,358; 7,8720
15,358; 7,0757
15,358; 6,2793
15,358; 5,4830
15,358; 4,6867
15,436; 3,8888
15,436; 3,0925
15,436; 2,2962
15,436; 1,4999
15,436; 0,70363
15,436; 0,10641
15,515; -0,49242
15,515; -1,2887
15,515; -2,0850
15,515; -2,8813
15,515; -3,6776
15,515; -4,4739
15,515; -5,2702
15,515; -5,8675
15,594; -6,4663
15,594; -7,2626
15,594; -7,8598
15,673; -8,4586
15,673; -9,2549
15,751; -10,053
15,869; -10,852
15,987; -9,2613
15,987; -10,058
16,066; -7,6703
16,066; -8,4666
16,145; -6,0793
16,145; -6,6766
16,263; -5,4845
16,420; -6,0849
16,578; -5,8891
16,617; -5,2926
16,735; -4,6978
16,893; -5,0992
17,050; -6,2968
17,168; -6,4983
17,247; -5,3055
17,247; -5,9027
17,326; -4,1126
17,326; -4,7098
17,404; -2,9198
17,404; -3,5170
17,523; -1,6282
17,483; -2,3241
17,680; -1,5318
17,837; -1,8336
17,995; -1,8368
18,152; -1,3424
18,152; -1,9396
18,310; -1,3456
18,428; -0,15351
18,428; -0,75074
18,507; 1,0393
18,507; 0,44211
18,625; 2,6295
18,625; 1,9328
18,743; 1,4327
18,743; 0,63639
18,821; -0,16152
18,861; -0,85908
18,940; -1,4579
18,979; -0,56287
19,058; 0,62998
19,058; 0,032756
19,176; 1,5234
19,294; 1,2224
19,412; 0,72231
19,569; 1,0177
19,687; 0,61717
19,806; -0,38061
19,766; -0,77796
19,924; -0,18393
20,002; 0,61077
20,120; 2,0019
20,081; 1,2064
20,278; 1,6005
20,317; 0,80344
20,396; 0,20461
20,475; -0,59329
20,514; -1,2909
20,632; -0,99464
20,750; -0,39982
20,868; -0,99945
20,868; -1,5967
20,947; -2,1955
20,947; -2,9918
20,986; -3,8884
21,104; -2,9950
21,104; -3,7913
21,183; -1,0059
21,183; -1,8022
21,183; -2,3994
21,262; 0,58515
21,262; -0,21115
21,380; 2,7726
21,341; 1,7780
21,341; 1,1808
21,498; 2,5711
21,577; 1,7732
21,577; 1,1760
21,655; 0,57714
21,655; -0,21916
21,655; -0,81638
21,774; -1,5156
21,892; -1,2193
21,970; -0,62371
22,088; -0,12843
22,246; -0,62932
22,403; -0,23437
22,521; 0,16138
